"","TERM","MARKET_1","MARKET_2","MARKET_3","MARKET_4","MARKET_5","MARKET_6","MARKET_7"
"1",2024-04-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"2",2024-05-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"3",2024-06-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"4",2024-07-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"5",2024-08-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"6",2024-09-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"7",2024-10-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"8",2024-11-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"9",2024-12-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"10",2025-01-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"11",2025-02-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"12",2025-03-01,76.39,76.88,79.02,79.27,79.17,77.42,79.09
"13",2025-04-01,76.39,76.42,79.02,79.27,77.43,75.72,79.09
"14",2025-05-01,75.95,75.98,76.6,76.83,75.19,73.53,78.66
"15",2025-06-01,75.48,75.51,75.89,76.06,74.57,72.92,78.2
"16",2025-07-01,75.02,75.05,75.2,75.4,74,72.37,77.76
"17",2025-08-01,74.57,74.6,74.75,74.84,73.43,71.81,77.29
"18",2025-09-01,74.11,74.14,74.29,74.39,72.89,71.27,76.82
"19",2025-10-01,73.68,73.71,73.86,73.97,72.4,70.8,76.37
"20",2025-11-01,73.29,73.32,73.47,73.59,72.08,70.49,75.96
"21",2025-12-01,72.92,72.95,73.09,73.22,71.71,70.12,75.58
"22",2026-01-01,72.59,72.61,72.76,72.9,71.44,69.86,75.23
"23",2026-02-01,72.27,72.3,72.45,72.59,71.01,69.44,74.91
"24",2026-03-01,72,72.03,72.17,72.32,70.64,69.08,74.63
"25",2026-04-01,71.76,71.79,71.93,72.09,70.31,68.76,74.38
"26",2026-05-01,71.55,71.58,71.72,71.88,70.01,68.46,74.16
"27",2026-06-01,71.37,71.4,71.54,71.7,69.76,68.22,73.97
"28",2026-07-01,71.2,71.22,71.37,71.54,69.4,67.87,73.79
"29",2026-08-01,71.02,71.04,71.19,71.36,69.25,67.72,73.6
"30",2026-09-01,70.84,70.87,71.01,71.19,69.07,67.54,73.43
"31",2026-10-01,70.69,70.72,70.86,71.04,68.97,67.44,73.27
"32",2026-11-01,70.54,70.57,70.71,70.9,68.86,67.34,73.11
"33",2026-12-01,70.39,70.42,70.56,70.75,68.77,67.25,72.96
"34",2027-01-01,70.23,70.26,70.4,70.59,68.65,67.13,72.79
"35",2027-02-01,70.09,70.12,70.26,70.45,68.49,66.98,72.65
"36",2027-03-01,69.97,70,70.14,70.33,68.39,66.88,72.52
"37",2027-04-01,69.86,69.89,70.03,70.23,68.27,66.77,72.41
"38",2027-05-01,69.78,69.81,69.95,70.15,68.2,66.69,72.32
"39",2027-06-01,69.69,69.71,69.85,70.06,68.1,66.59,72.23
"40",2027-07-01,69.58,69.6,69.74,69.95,67.97,66.47,72.11
"41",2027-08-01,69.49,69.51,69.65,69.86,67.81,66.31,72.02
"42",2027-09-01,69.4,69.42,69.56,69.77,67.7,66.2,71.93
"43",2027-10-01,69.32,69.34,69.48,69.69,67.6,66.11,71.84
"44",2027-11-01,69.22,69.25,69.39,69.6,67.49,66,71.75
"45",2027-12-01,69.15,69.18,69.32,69.54,67.41,65.92,71.68
"46",2028-01-01,69.08,69.11,69.25,69.47,67.32,65.84,71.6
"47",2028-02-01,69.06,69.09,69.23,69.45,67.27,65.79,71.58
"48",2028-03-01,69.01,69.04,69.18,69.4,67.21,65.72,71.53
